time,open,high,low,close
2016-06-20 09:15:00+05:30,26497.11,26609.81,26447.88,26593.95
2016-06-20 09:30:00+05:30,26593.48,26660.3,26593.48,26624.85
2016-06-20 09:45:00+05:30,26624.85,26716.02,26613.46,26712.36
2016-06-20 10:00:00+05:30,26712.79,26750.23,26685.48,26693.3
2016-06-20 10:15:00+05:30,26694.38,26711.25,26686.49,26702.84
2016-06-20 10:30:00+05:30,26702.74,26708.72,26661.67,26664.62
2016-06-20 10:45:00+05:30,26664.62,26695.18,26663.77,26685.94
2016-06-20 11:00:00+05:30,26685.94,26697.5,26682.77,26696.99
2016-06-20 11:15:00+05:30,26696.99,26704.65,26678.57,26686.3
2016-06-20 11:30:00+05:30,26686.3,26734.16,26683.8,26733.24
2016-06-20 11:45:00+05:30,26733.86,26752.18,26724.27,26728.15
2016-06-20 12:00:00+05:30,26728.05,26748.64,26728.05,26747.96
2016-06-20 12:15:00+05:30,26746.91,26761.79,26744.11,26754.31
2016-06-20 12:30:00+05:30,26754.84,26820.95,26754.36,26820.03
2016-06-20 12:45:00+05:30,26820.35,26830.48,26782.11,26788.46
2016-06-20 13:00:00+05:30,26788.75,26799.71,26774.67,26796.29
2016-06-20 13:15:00+05:30,26796.17,26799.09,26758.67,26760.43
2016-06-20 13:30:00+05:30,26761.07,26796.34,26751.36,26792.4
2016-06-20 13:45:00+05:30,26792.3,26797.11,26777.64,26796.85
2016-06-20 14:00:00+05:30,26797.27,26820.44,26789.32,26812.16
2016-06-20 14:15:00+05:30,26812.95,26854.25,26812.95,26849.55
2016-06-20 14:30:00+05:30,26850.0,26868.81,26844.2,26859.85
2016-06-20 14:45:00+05:30,26860.15,26874.28,26824.5,26835.87
2016-06-20 15:00:00+05:30,26836.48,26876.71,26835.74,26874.37
2016-06-20 15:15:00+05:30,26874.33,26885.49,26845.87,26866.92
2016-06-21 09:15:00+05:30,26907.42,26925.64,26801.15,26813.63
2016-06-21 09:30:00+05:30,26813.63,26821.11,26781.73,26817.79
2016-06-21 09:45:00+05:30,26817.79,26831.4,26776.16,26794.43
2016-06-21 10:00:00+05:30,26794.11,26833.31,26794.11,26805.16
2016-06-21 10:15:00+05:30,26804.93,26821.36,26803.5,26809.27
2016-06-21 10:30:00+05:30,26809.27,26851.45,26808.39,26835.02
2016-06-21 10:45:00+05:30,26835.02,26841.35,26807.13,26807.98
2016-06-21 11:00:00+05:30,26807.34,26816.24,26800.26,26807.87
2016-06-21 11:15:00+05:30,26807.87,26819.95,26806.8,26810.79
2016-06-21 11:30:00+05:30,26810.79,26826.91,26809.13,26822.85
2016-06-21 11:45:00+05:30,26822.85,26845.13,26818.76,26821.97
2016-06-21 12:00:00+05:30,26821.92,26829.25,26798.04,26801.65
2016-06-21 12:15:00+05:30,26801.65,26805.19,26754.6,26791.71
2016-06-21 12:30:00+05:30,26792.26,26793.3,26766.89,26777.1
2016-06-21 12:45:00+05:30,26777.28,26815.18,26774.8,26813.16
2016-06-21 13:00:00+05:30,26813.16,26827.51,26787.77,26788.12
2016-06-21 13:15:00+05:30,26788.6,26825.37,26782.48,26822.9
2016-06-21 13:30:00+05:30,26822.9,26822.9,26791.98,26798.41
2016-06-21 13:45:00+05:30,26798.09,26834.65,26794.48,26828.6
2016-06-21 14:00:00+05:30,26828.6,26845.56,26823.71,26844.35
2016-06-21 14:15:00+05:30,26844.24,26845.54,26819.32,26828.37
2016-06-21 14:30:00+05:30,26828.58,26838.63,26820.94,26823.55
2016-06-21 14:45:00+05:30,26823.63,26826.8,26796.86,26814.28
2016-06-21 15:00:00+05:30,26814.37,26834.62,26796.54,26823.82
2016-06-21 15:15:00+05:30,26823.09,26828.0,26775.32,26812.78
2016-06-22 09:15:00+05:30,26791.68,26843.19,26772.94,26802.87
2016-06-22 09:30:00+05:30,26803.74,26840.33,26800.92,26840.23
2016-06-22 09:45:00+05:30,26840.45,26887.29,26840.45,26854.71
2016-06-22 10:00:00+05:30,26855.36,26875.84,26852.46,26861.59
2016-06-22 10:15:00+05:30,26861.59,26861.86,26825.91,26838.25
2016-06-22 10:30:00+05:30,26840.13,26843.96,26800.44,26826.39
2016-06-22 10:45:00+05:30,26826.39,26836.98,26808.28,26811.49
2016-06-22 11:00:00+05:30,26812.49,26826.52,26784.7,26822.07
2016-06-22 11:15:00+05:30,26822.07,26825.43,26810.88,26815.76
2016-06-22 11:30:00+05:30,26815.68,26830.65,26802.65,26804.9
2016-06-22 11:45:00+05:30,26804.78,26813.77,26793.15,26804.22
2016-06-22 12:00:00+05:30,26804.22,26805.82,26793.8,26804.96
2016-06-22 12:15:00+05:30,26805.03,26811.37,26794.95,26811.37
2016-06-22 12:30:00+05:30,26809.25,26816.38,26803.04,26809.17
2016-06-22 12:45:00+05:30,26809.29,26811.91,26769.21,26769.57
2016-06-22 13:00:00+05:30,26769.21,26786.28,26756.87,26779.47
2016-06-22 13:15:00+05:30,26779.42,26799.02,26773.98,26774.83
2016-06-22 13:30:00+05:30,26773.89,26782.14,26657.84,26658.35
2016-06-22 13:45:00+05:30,26657.18,26706.35,26617.45,26695.8
2016-06-22 14:00:00+05:30,26695.8,26711.19,26663.26,26677.2
2016-06-22 14:15:00+05:30,26676.65,26717.99,26676.65,26713.89
2016-06-22 14:30:00+05:30,26713.91,26773.7,26710.81,26752.48
2016-06-22 14:45:00+05:30,26752.48,26764.31,26721.46,26761.66
2016-06-22 15:00:00+05:30,26762.76,26779.38,26748.32,26760.19
2016-06-22 15:15:00+05:30,26760.03,26774.39,26734.71,26765.65
2016-06-23 09:15:00+05:30,26753.2,26813.57,26747.08,26771.4
2016-06-23 09:30:00+05:30,26770.92,26792.6,26765.51,26774.37
2016-06-23 09:45:00+05:30,26774.82,26787.28,26766.51,26775.44
2016-06-23 10:00:00+05:30,26775.72,26775.92,26739.12,26763.34
2016-06-23 10:15:00+05:30,26764.05,26782.58,26761.04,26775.9
2016-06-23 10:30:00+05:30,26776.58,26777.65,26753.57,26754.65
2016-06-23 10:45:00+05:30,26754.95,26769.48,26740.6,26742.19
2016-06-23 11:00:00+05:30,26742.19,26769.73,26736.52,26765.66
2016-06-23 11:15:00+05:30,26766.01,26770.8,26742.65,26751.05
2016-06-23 11:30:00+05:30,26750.64,26761.88,26744.14,26746.05
2016-06-23 11:45:00+05:30,26745.45,26760.05,26741.75,26750.31
2016-06-23 12:00:00+05:30,26750.31,26762.76,26745.74,26759.44
2016-06-23 12:15:00+05:30,26759.37,26765.04,26746.6,26764.58
2016-06-23 12:30:00+05:30,26764.58,26847.62,26761.89,26832.9
2016-06-23 12:45:00+05:30,26832.55,26841.86,26818.71,26827.04
2016-06-23 13:00:00+05:30,26827.04,26829.78,26805.82,26824.88
2016-06-23 13:15:00+05:30,26824.44,26827.77,26801.2,26818.26
2016-06-23 13:30:00+05:30,26818.58,26828.99,26810.1,26823.62
2016-06-23 13:45:00+05:30,26823.43,26854.35,26822.98,26832.62
2016-06-23 14:00:00+05:30,26832.8,26854.07,26827.69,26852.01
2016-06-23 14:15:00+05:30,26851.91,26957.31,26849.32,26956.1
2016-06-23 14:30:00+05:30,26957.09,27018.91,26937.8,27010.17
2016-06-23 14:45:00+05:30,27011.21,27060.98,26995.13,27026.41
2016-06-23 15:00:00+05:30,27026.98,27040.23,26992.8,27000.18
2016-06-23 15:15:00+05:30,27002.73,27013.47,26976.58,27002.22
2016-06-24 09:15:00+05:30,26367.48,26367.48,26053.68,26273.16
2016-06-24 09:30:00+05:30,26272.05,26321.53,26169.32,26196.88
2016-06-24 09:45:00+05:30,26197.1,26201.87,26070.04,26086.72
2016-06-24 10:00:00+05:30,26087.27,26092.48,25989.41,26037.01
2016-06-24 10:15:00+05:30,26036.39,26051.81,25968.52,25978.96
2016-06-24 10:30:00+05:30,25976.85,26081.98,25944.53,26042.42
2016-06-24 10:45:00+05:30,26039.85,26072.64,26022.96,26031.92
2016-06-24 11:00:00+05:30,26032.03,26037.89,26011.09,26028.31
2016-06-24 11:15:00+05:30,26028.2,26059.4,26010.53,26013.09
2016-06-24 11:30:00+05:30,26012.54,26031.99,25976.32,26027.91
2016-06-24 11:45:00+05:30,26027.9,26036.99,25989.62,26000.6
2016-06-24 12:00:00+05:30,25999.79,26004.69,25946.2,25973.86
2016-06-24 12:15:00+05:30,25973.86,25986.03,25917.57,25926.46
2016-06-24 12:30:00+05:30,25923.7,26099.54,25911.33,26064.2
2016-06-24 12:45:00+05:30,26066.14,26138.29,26046.37,26118.73
2016-06-24 13:00:00+05:30,26119.35,26196.25,26103.96,26196.06
2016-06-24 13:15:00+05:30,26194.77,26220.14,26156.11,26215.68
2016-06-24 13:30:00+05:30,26215.71,26238.21,26164.84,26215.91
2016-06-24 13:45:00+05:30,26215.77,26328.66,26211.01,26312.6
2016-06-24 14:00:00+05:30,26311.64,26376.22,26274.93,26375.22
2016-06-24 14:15:00+05:30,26376.52,26398.93,26262.04,26269.5
2016-06-24 14:30:00+05:30,26269.83,26341.72,26249.48,26328.21
2016-06-24 14:45:00+05:30,26328.03,26360.4,26320.03,26350.87
2016-06-24 15:00:00+05:30,26350.94,26435.85,26347.05,26401.17
2016-06-24 15:15:00+05:30,26402.51,26414.88,26349.78,26397.71
2016-06-27 09:15:00+05:30,26347.81,26395.83,26298.87,26374.06
2016-06-27 09:30:00+05:30,26373.46,26438.84,26371.41,26428.6
2016-06-27 09:45:00+05:30,26428.61,26429.28,26348.57,26369.18
2016-06-27 10:00:00+05:30,26369.15,26386.17,26333.61,26356.97
2016-06-27 10:15:00+05:30,26356.8,26371.73,26354.96,26363.2
2016-06-27 10:30:00+05:30,26362.76,26391.0,26359.25,26386.4
2016-06-27 10:45:00+05:30,26385.86,26401.27,26381.38,26400.53
2016-06-27 11:00:00+05:30,26400.43,26405.58,26373.36,26380.75
2016-06-27 11:15:00+05:30,26381.17,26388.46,26373.46,26374.96
2016-06-27 11:30:00+05:30,26374.65,26400.6,26364.13,26399.77
2016-06-27 11:45:00+05:30,26401.38,26445.18,26391.77,26426.45
2016-06-27 12:00:00+05:30,26425.5,26440.74,26420.96,26420.96
2016-06-27 12:15:00+05:30,26420.67,26436.07,26402.21,26429.71
2016-06-27 12:30:00+05:30,26430.34,26486.08,26424.04,26463.87
2016-06-27 12:45:00+05:30,26464.27,26493.51,26464.27,26480.74
2016-06-27 13:00:00+05:30,26480.74,26482.08,26432.5,26432.5
2016-06-27 13:15:00+05:30,26432.52,26447.66,26422.88,26423.95
2016-06-27 13:30:00+05:30,26423.95,26439.2,26361.95,26384.5
2016-06-27 13:45:00+05:30,26384.76,26385.12,26289.73,26311.61
2016-06-27 14:00:00+05:30,26312.79,26337.29,26262.72,26330.49
2016-06-27 14:15:00+05:30,26331.3,26396.04,26331.3,26387.34
2016-06-27 14:30:00+05:30,26387.34,26434.05,26385.32,26432.57
2016-06-27 14:45:00+05:30,26432.27,26449.11,26403.03,26410.3
2016-06-27 15:00:00+05:30,26410.13,26411.52,26380.75,26401.61
2016-06-27 15:15:00+05:30,26403.09,26416.56,26387.24,26402.96
2016-06-28 09:15:00+05:30,26410.66,26469.64,26378.46,26433.9
2016-06-28 09:30:00+05:30,26433.36,26490.31,26433.36,26484.14
2016-06-28 09:45:00+05:30,26484.25,26484.46,26430.15,26448.28
2016-06-28 10:00:00+05:30,26448.74,26464.14,26438.24,26461.81
2016-06-28 10:15:00+05:30,26460.86,26481.54,26451.15,26476.07
2016-06-28 10:30:00+05:30,26476.07,26480.88,26459.79,26460.85
2016-06-28 10:45:00+05:30,26460.44,26480.11,26456.63,26471.62
2016-06-28 11:00:00+05:30,26471.62,26475.07,26440.23,26458.41
2016-06-28 11:15:00+05:30,26457.89,26469.06,26452.37,26454.82
2016-06-28 11:30:00+05:30,26455.74,26471.27,26454.1,26456.95
2016-06-28 11:45:00+05:30,26456.95,26481.09,26443.12,26475.08
2016-06-28 12:00:00+05:30,26474.86,26479.24,26458.21,26458.21
2016-06-28 12:15:00+05:30,26460.12,26484.42,26451.11,26482.39
2016-06-28 12:30:00+05:30,26483.39,26533.86,26483.39,26532.83
2016-06-28 12:45:00+05:30,26532.55,26543.72,26526.75,26543.64
2016-06-28 13:00:00+05:30,26543.85,26583.33,26543.77,26559.04
2016-06-28 13:15:00+05:30,26559.04,26568.28,26541.75,26545.05
2016-06-28 13:30:00+05:30,26546.1,26558.54,26532.45,26539.2
2016-06-28 13:45:00+05:30,26538.84,26541.02,26494.86,26535.06
2016-06-28 14:00:00+05:30,26535.6,26544.33,26497.05,26519.1
2016-06-28 14:15:00+05:30,26518.48,26520.17,26466.36,26490.87
2016-06-28 14:30:00+05:30,26490.6,26544.56,26489.87,26539.79
2016-06-28 14:45:00+05:30,26540.62,26549.2,26521.69,26540.0
2016-06-28 15:00:00+05:30,26539.56,26550.03,26518.12,26523.71
2016-06-28 15:15:00+05:30,26523.75,26532.58,26502.8,26524.55
2016-06-29 09:15:00+05:30,26627.15,26673.88,26627.15,26633.85
2016-06-29 09:30:00+05:30,26633.85,26676.87,26630.23,26665.77
2016-06-29 09:45:00+05:30,26665.77,26683.49,26660.38,26680.48
2016-06-29 10:00:00+05:30,26680.83,26696.53,26673.92,26684.7
2016-06-29 10:15:00+05:30,26685.01,26700.77,26683.48,26684.34
2016-06-29 10:30:00+05:30,26684.51,26685.43,26655.63,26676.8
2016-06-29 10:45:00+05:30,26677.33,26678.25,26643.48,26652.67
2016-06-29 11:00:00+05:30,26652.43,26658.83,26627.53,26628.13
2016-06-29 11:15:00+05:30,26628.13,26633.27,26606.31,26632.85
2016-06-29 11:30:00+05:30,26633.85,26638.84,26614.84,26635.06
2016-06-29 11:45:00+05:30,26635.77,26639.16,26617.27,26631.64
2016-06-29 12:00:00+05:30,26632.17,26652.76,26632.06,26648.03
2016-06-29 12:15:00+05:30,26648.03,26663.89,26643.5,26649.51
2016-06-29 12:30:00+05:30,26649.26,26656.79,26640.5,26651.59
2016-06-29 12:45:00+05:30,26651.59,26669.38,26647.24,26657.32
2016-06-29 13:00:00+05:30,26657.47,26662.48,26640.3,26647.86
2016-06-29 13:15:00+05:30,26647.63,26686.44,26646.53,26672.2
2016-06-29 13:30:00+05:30,26671.69,26687.27,26666.59,26673.44
2016-06-29 13:45:00+05:30,26672.7,26680.36,26655.05,26662.1
2016-06-29 14:00:00+05:30,26662.1,26705.95,26661.87,26705.28
2016-06-29 14:15:00+05:30,26705.56,26735.44,26703.25,26734.93
2016-06-29 14:30:00+05:30,26734.94,26747.01,26721.69,26728.1
2016-06-29 14:45:00+05:30,26729.18,26759.71,26723.23,26754.67
2016-06-29 15:00:00+05:30,26756.89,26776.17,26730.17,26736.91
2016-06-29 15:15:00+05:30,26736.23,26758.03,26724.08,26740.39
2016-06-30 09:15:00+05:30,26926.17,26981.11,26911.27,26971.07
2016-06-30 09:30:00+05:30,26971.62,26976.78,26950.12,26959.64
2016-06-30 09:45:00+05:30,26959.72,26974.99,26953.28,26973.03
2016-06-30 10:00:00+05:30,26972.98,26994.34,26970.14,26984.14
2016-06-30 10:15:00+05:30,26984.02,26987.28,26965.61,26983.21
2016-06-30 10:30:00+05:30,26984.02,26988.41,26944.69,26947.31
2016-06-30 10:45:00+05:30,26948.26,26950.89,26912.1,26941.19
2016-06-30 11:00:00+05:30,26941.61,26955.81,26925.59,26953.78
2016-06-30 11:15:00+05:30,26952.97,26955.23,26940.43,26947.85
2016-06-30 11:30:00+05:30,26947.78,26951.95,26915.97,26919.07
2016-06-30 11:45:00+05:30,26919.07,26926.35,26907.73,26913.25
2016-06-30 12:00:00+05:30,26912.86,26912.98,26872.6,26903.95
2016-06-30 12:15:00+05:30,26904.18,26921.09,26903.95,26915.51
2016-06-30 12:30:00+05:30,26914.17,26917.5,26874.38,26874.72
2016-06-30 12:45:00+05:30,26874.9,26896.65,26872.84,26892.63
2016-06-30 13:00:00+05:30,26892.2,26937.31,26886.78,26929.18
2016-06-30 13:15:00+05:30,26929.4,26995.86,26926.74,26990.01
2016-06-30 13:30:00+05:30,26989.95,27032.52,26989.95,27023.14
2016-06-30 13:45:00+05:30,27023.43,27038.23,27011.3,27022.12
